path,label
/content/drive/MyDrive/MDM/Dataset/Healthy/255.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/125.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/190.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/260.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/14.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/199.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/278.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/113.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/229.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/173.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/102.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/219.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/195.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/211.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/100.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/189.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/243.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/116.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/119.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/248.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/164.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/155.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/273.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/11.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/167.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/258.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/112.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/238.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/251.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/252.png,Healthy
/content/drive/MyDrive/MDM/Dataset/Healthy/129.png,Healthy
